"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","12","testcases","test_mock","","","","test_add_product_comment","测试添加产品评论API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","17","testcases","test_mock","","","","test_get_user_detail","测试获取用户详细信息API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","14","testcases","test_mock","","","","test_get_products","测试获取产品列表API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","15","testcases","test_mock","","","","test_create_order","测试创建订单API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","8","testcases","test_mock","","","","test_update_order_status","测试更新订单状态API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","14","testcases","test_mock","","","","test_upload_avatar","测试上传头像API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","21","testcases","test_mock","","","","test_delete_comment","测试删除评论API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","12","testcases","test_mock","","","","test_create_user","测试创建用户API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","11","testcases","test_mock","","","","test_get_user","测试获取单个用户API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","11","testcases","test_mock","","","","test_get_product","测试获取单个产品API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","13","testcases","test_mock","","","","test_get_comments","测试获取评论列表API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","13","testcases","test_mock","","","","test_get_system_status","测试获取系统状态API"
"passed","Fri Oct 03 23:07:46 CST 2025","Fri Oct 03 23:07:46 CST 2025","90","testcases","test_mock","","","","test_get_users","测试获取用户列表API"
